seed,mse,mae
264,0.2987,0.3879
33,0.2901,0.3823
202,0.2899,0.3823
97,0.2895,0.3828
159,0.2892,0.3802
119,0.2887,0.3817
54,0.2885,0.3795
222,0.2882,0.382
203,0.2875,0.3809
201,0.2873,0.3803
75,0.2873,0.3818
138,0.2872,0.3798
13,0.2871,0.3798
55,0.287,0.3808
266,0.2868,0.3807
76,0.2861,0.38
12,0.2861,0.3802
244,0.286,0.379
118,0.286,0.3783
77,0.2859,0.3783
0,0.2846,0.3785
223,0.2846,0.3784
180,0.2843,0.3781
117,0.2843,0.3773
96,0.2841,0.3769
160,0.284,0.3782
181,0.2838,0.3781
1,0.2837,0.3784
139,0.2835,0.3776
34,0.2834,0.3774
243,0.2829,0.377
265,0.282,0.3759
