seed,mse,mae
13,0.2482,0.3505
160,0.2469,0.3483
160,0.2469,0.3483
243,0.2459,0.3488
96,0.2458,0.3475
54,0.2457,0.3476
1,0.2454,0.3477
161,0.245,0.3488
97,0.245,0.3471
161,0.245,0.3488
34,0.2449,0.3469
0,0.2447,0.3468
264,0.2445,0.3473
12,0.2445,0.3472
244,0.2445,0.3469
55,0.2445,0.3474
202,0.2444,0.3472
180,0.2442,0.3464
245,0.2441,0.3466
287,0.244,0.3467
159,0.2437,0.3461
159,0.2437,0.3461
201,0.2435,0.3461
117,0.2433,0.3457
222,0.2433,0.3458
286,0.2431,0.346
181,0.2427,0.3452
223,0.2426,0.345
285,0.2425,0.345
265,0.2424,0.3451
33,0.2422,0.3449
75,0.2417,0.3444
138,0.2411,0.344
