seed,mse,mae
222,0.1312,0.1782
56,0.1302,0.1778
268,0.1296,0.174
159,0.129,0.1736
37,0.1289,0.175
286,0.1286,0.1752
54,0.1285,0.1725
244,0.1284,0.1727
2,0.128,0.1727
96,0.1278,0.1711
118,0.1278,0.1741
140,0.1274,0.1705
78,0.1273,0.1726
285,0.1273,0.1702
225,0.1271,0.1707
75,0.127,0.1693
117,0.1266,0.17
12,0.1264,0.1693
55,0.1263,0.1679
247,0.1263,0.1693
33,0.1262,0.1683
77,0.1262,0.1692
119,0.1261,0.1683
182,0.126,0.1674
289,0.1259,0.1685
243,0.1259,0.1692
35,0.1259,0.1684
224,0.1258,0.169
13,0.1258,0.1699
223,0.1257,0.1675
0,0.1256,0.168
181,0.1255,0.1677
202,0.1255,0.1688
265,0.1255,0.1682
138,0.1254,0.1677
201,0.1253,0.1674
36,0.1253,0.167
246,0.1253,0.1683
287,0.1253,0.167
266,0.1252,0.1673
1,0.1252,0.169
97,0.1252,0.1668
14,0.125,0.17
267,0.125,0.1662
76,0.125,0.166
161,0.1249,0.1665
15,0.1249,0.1671
160,0.1247,0.1659
180,0.1246,0.1661
203,0.1246,0.1653
264,0.1246,0.1656
98,0.1246,0.166
120,0.1245,0.1667
16,0.1242,0.1647
34,0.1241,0.1662
288,0.1241,0.1645
245,0.1241,0.1655
139,0.1222,0.1618
