seed,mse,mae
12,0.1047,0.1332
139,0.1034,0.1299
243,0.1033,0.1295
140,0.103,0.1303
76,0.103,0.1303
267,0.1029,0.1288
225,0.1028,0.1298
265,0.1028,0.1285
222,0.1027,0.1293
182,0.1027,0.129
161,0.1027,0.13
118,0.1026,0.1284
117,0.1025,0.1288
54,0.1025,0.1276
0,0.1025,0.1303
75,0.1024,0.1277
247,0.1023,0.1285
55,0.1023,0.1277
224,0.1022,0.1292
180,0.1022,0.1278
34,0.1022,0.1279
245,0.1021,0.1268
203,0.1021,0.1269
1,0.1021,0.1273
138,0.102,0.1271
201,0.1019,0.1285
285,0.1019,0.1268
244,0.1018,0.1294
160,0.1016,0.1284
33,0.1016,0.1279
96,0.1016,0.127
159,0.1015,0.1258
223,0.1015,0.1267
264,0.1014,0.1261
181,0.1014,0.127
202,0.1013,0.1267
97,0.1012,0.127
286,0.1012,0.1274
120,0.1011,0.1262
287,0.1011,0.1274
246,0.1011,0.1273
266,0.101,0.127
119,0.1007,0.126
13,0.1001,0.1248
