seed,mse,mae
4,0.1717,0.3307
171,0.103,0.2491
13,0.1026,0.2487
41,0.1025,0.2484
122,0.102,0.2481
171,0.1018,0.2478
96,0.1016,0.2475
1,0.1012,0.2472
83,0.1011,0.2469
17,0.101,0.2468
54,0.1006,0.2466
60,0.1005,0.2468
124,0.1,0.2457
12,0.0998,0.2456
164,0.0998,0.246
164,0.0998,0.246
75,0.0986,0.2441
123,0.098,0.2444
6,0.0979,0.2431
61,0.0979,0.2432
125,0.0975,0.2431
139,0.0972,0.2437
98,0.0969,0.2421
99,0.0967,0.2424
167,0.0965,0.2424
167,0.0965,0.2424
102,0.0963,0.2421
118,0.0962,0.2413
42,0.0962,0.2421
76,0.0962,0.2414
37,0.0962,0.2426
120,0.0959,0.2407
141,0.0952,0.241
14,0.0952,0.2405
81,0.0952,0.2403
58,0.095,0.241
146,0.0949,0.2412
34,0.0946,0.2399
162,0.0945,0.2406
162,0.0945,0.2406
145,0.0943,0.2411
103,0.0941,0.239
161,0.0939,0.2401
161,0.0939,0.2401
77,0.0938,0.2399
165,0.0936,0.2397
165,0.0936,0.2397
36,0.0935,0.2406
62,0.0934,0.2382
38,0.0933,0.24
55,0.0933,0.2393
79,0.093,0.2379
19,0.0927,0.2375
163,0.0926,0.2391
163,0.0926,0.2391
101,0.0925,0.2385
150,0.0925,0.2375
100,0.0922,0.2386
147,0.0921,0.2386
82,0.092,0.2375
40,0.092,0.2384
166,0.0919,0.2382
166,0.0919,0.2382
2,0.0918,0.237
97,0.0917,0.237
117,0.0916,0.2378
140,0.0916,0.2365
7,0.0912,0.2368
57,0.0911,0.2369
5,0.0908,0.2358
138,0.0906,0.2361
16,0.0906,0.2359
126,0.0905,0.2376
148,0.0904,0.2365
18,0.0902,0.2363
121,0.0902,0.2369
222,0.09,0.2361
168,0.09,0.2384
168,0.09,0.2384
144,0.0897,0.2353
39,0.0896,0.2348
169,0.0894,0.2357
169,0.0894,0.2357
127,0.0891,0.2366
170,0.0889,0.2352
170,0.0889,0.2352
35,0.0886,0.236
159,0.0886,0.2359
159,0.0886,0.2359
43,0.0885,0.2342
78,0.0885,0.237
119,0.0883,0.2357
143,0.088,0.2349
160,0.088,0.2386
160,0.088,0.2386
142,0.0878,0.2334
33,0.0873,0.2366
15,0.0872,0.2335
56,0.087,0.2347
80,0.087,0.2329
59,0.0869,0.2308
0,0.0868,0.2315
149,0.0865,0.2347
129,0.0871,0.2335
64,0.0865,0.234
11,0.0863,0.2335
3,0.0858,0.2331
159,0.0848,0.2284
