seed,mse,mae
40,0.2049,0.3796
143,0.194,0.3669
33,0.1933,0.3656
58,0.1923,0.3638
97,0.1893,0.3611
82,0.1876,0.3606
59,0.187,0.3577
86,0.1861,0.3575
11,0.1854,0.3563
104,0.1843,0.3555
149,0.1837,0.356
14,0.1834,0.3543
64,0.1828,0.3542
23,0.1824,0.3533
13,0.182,0.353
83,0.1803,0.3512
21,0.1803,0.3502
9,0.1793,0.35
85,0.1787,0.349
0,0.1784,0.3489
151,0.1778,0.348
138,0.1777,0.3478
38,0.1777,0.3493
43,0.177,0.3471
126,0.1766,0.3459
20,0.1766,0.3468
78,0.1765,0.3471
122,0.1763,0.3469
80,0.1761,0.3448
120,0.1756,0.3456
26,0.1756,0.3459
124,0.1754,0.3448
88,0.1743,0.3446
144,0.174,0.3437
118,0.1732,0.3428
60,0.1728,0.3423
12,0.1727,0.3419
5,0.1721,0.3416
84,0.1721,0.3416
117,0.1721,0.3417
105,0.1718,0.3414
63,0.1712,0.3402
61,0.1712,0.3402
17,0.1707,0.339
139,0.1705,0.3393
4,0.1703,0.339
146,0.1697,0.3387
79,0.1697,0.3389
66,0.1685,0.3371
103,0.1685,0.3373
27,0.1683,0.3374
39,0.1682,0.3369
19,0.1675,0.3362
96,0.1674,0.3357
81,0.1673,0.3359
107,0.1669,0.3352
141,0.1667,0.3349
99,0.1662,0.335
34,0.166,0.3341
3,0.1658,0.3342
15,0.1655,0.3335
10,0.1655,0.3336
125,0.1653,0.3336
121,0.1652,0.3334
18,0.1643,0.3318
145,0.163,0.3308
75,0.1625,0.3301
35,0.1621,0.3298
55,0.162,0.3291
67,0.1619,0.3302
41,0.1616,0.3293
147,0.1604,0.3271
98,0.1602,0.3273
8,0.1598,0.3267
24,0.1593,0.326
106,0.1592,0.3261
56,0.1591,0.3263
142,0.1588,0.3255
57,0.1582,0.3243
42,0.1578,0.3244
62,0.1573,0.3237
148,0.1572,0.3241
6,0.1566,0.3234
119,0.1556,0.3219
65,0.1555,0.3215
123,0.155,0.3212
46,0.1539,0.32
2,0.1533,0.3191
7,0.153,0.3182
45,0.1529,0.3184
44,0.1526,0.3185
76,0.1513,0.3165
77,0.1513,0.3173
140,0.1508,0.3164
16,0.1508,0.3157
150,0.1501,0.3155
25,0.1499,0.3146
102,0.1497,0.3139
54,0.1493,0.3141
101,0.1492,0.3138
36,0.1483,0.3128
87,0.1462,0.3101
100,0.1461,0.3095
37,0.1428,0.3058
110,0.1373,0.2993
22,0.1311,0.2918
1,0.1264,0.2865
