seed,mse,mae
74,0.0826,0.2151
30,0.0811,0.2145
21,0.079,0.2099
19,0.079,0.2109
81,0.0784,0.2098
60,0.0782,0.2094
75,0.0781,0.2093
54,0.078,0.2099
6,0.0779,0.2088
56,0.0778,0.2094
27,0.0777,0.2091
26,0.0777,0.2093
64,0.0777,0.2094
63,0.0777,0.2083
51,0.0773,0.2084
58,0.0773,0.2077
15,0.077,0.2086
61,0.0768,0.2074
18,0.0768,0.207
23,0.0767,0.2081
82,0.0766,0.2077
4,0.0761,0.2065
84,0.0761,0.2081
66,0.0759,0.2064
9,0.0758,0.2065
68,0.0756,0.2062
53,0.0756,0.2059
57,0.0756,0.2063
12,0.0755,0.2059
22,0.0754,0.2064
32,0.0753,0.2057
79,0.0753,0.2061
55,0.0751,0.2059
10,0.0751,0.2074
31,0.0751,0.2061
35,0.0749,0.208
33,0.0748,0.2055
72,0.0748,0.206
11,0.0747,0.2057
62,0.0745,0.2065
77,0.0745,0.2058
20,0.0744,0.2049
67,0.0743,0.2062
52,0.0742,0.2051
5,0.0741,0.2051
83,0.074,0.2062
69,0.0739,0.2048
8,0.0737,0.205
85,0.0737,0.2051
36,0.0735,0.2038
65,0.0734,0.2043
25,0.0734,0.2035
16,0.0734,0.2062
17,0.0733,0.2059
59,0.0732,0.2033
76,0.073,0.2037
70,0.0726,0.2044
80,0.0725,0.205
14,0.0724,0.2031
7,0.0717,0.2035
34,0.0716,0.2032
3,0.0715,0.2058
29,0.0715,0.2021
2,0.0715,0.2023
24,0.0715,0.2073
71,0.071,0.2092
13,0.0707,0.2032
37,0.0706,0.2038
78,0.0702,0.2026
73,0.0701,0.2016
1,0.0701,0.2024
0,0.0701,0.2028
28,0.0696,0.2024
160,0.0687,0.2017
