seed,mse,mae
31,0.0532,0.1721
27,0.0523,0.1714
72,0.0515,0.1699
13,0.0513,0.1689
10,0.051,0.1679
1,0.0506,0.1678
2,0.0505,0.1684
77,0.0504,0.1677
3,0.0503,0.167
51,0.0502,0.1672
24,0.0501,0.1675
74,0.0501,0.1665
69,0.0493,0.1653
26,0.0487,0.1642
16,0.0483,0.1645
55,0.0483,0.1638
52,0.0483,0.1637
20,0.0483,0.1634
76,0.0482,0.163
25,0.0481,0.1631
8,0.0479,0.1631
68,0.0479,0.1625
23,0.0478,0.1626
59,0.0477,0.1624
9,0.0477,0.1634
4,0.0477,0.1628
63,0.0477,0.1623
73,0.0476,0.1625
11,0.0476,0.1632
64,0.0475,0.1624
14,0.0475,0.1623
15,0.0474,0.1621
70,0.0474,0.1618
53,0.0472,0.1625
6,0.0471,0.1617
58,0.047,0.1613
0,0.0469,0.1612
60,0.0469,0.1612
65,0.0469,0.1614
22,0.0467,0.1611
71,0.0465,0.1602
28,0.0464,0.1612
61,0.0463,0.1605
30,0.0462,0.161
19,0.0462,0.1602
21,0.0461,0.1607
12,0.0457,0.1599
67,0.0456,0.1593
7,0.0455,0.16
256,0.0455,0.1587
57,0.0454,0.1587
62,0.0453,0.1585
29,0.0453,0.1584
75,0.0451,0.1584
56,0.045,0.1579
66,0.0448,0.1578
18,0.0444,0.1572
17,0.0442,0.1567
5,0.0438,0.1562
54,0.0437,0.1566
