seed,mse,mae
5,0.2174,0.3929
89,0.2149,0.3905
43,0.2138,0.3886
75,0.2115,0.3858
73,0.2106,0.3845
26,0.2101,0.3854
9,0.2091,0.3837
98,0.2069,0.3818
25,0.2003,0.3745
88,0.1991,0.3738
16,0.1979,0.3712
82,0.1975,0.3712
66,0.1963,0.3702
71,0.1946,0.3676
8,0.1944,0.3688
40,0.1931,0.3666
70,0.1921,0.3652
63,0.1913,0.3638
11,0.1901,0.3616
97,0.1899,0.3626
53,0.1899,0.3628
49,0.1893,0.3619
54,0.1883,0.3607
42,0.1873,0.3582
65,0.1871,0.3592
15,0.1869,0.3594
34,0.1859,0.3574
87,0.1851,0.3573
81,0.1845,0.3567
2,0.184,0.3565
3,0.1827,0.3542
0,0.1821,0.3533
33,0.1816,0.3521
95,0.1812,0.3523
100,0.181,0.3522
50,0.1802,0.352
84,0.1798,0.3501
27,0.1797,0.3504
96,0.1787,0.3491
31,0.1784,0.3483
38,0.178,0.349
92,0.1777,0.3488
30,0.1777,0.3476
85,0.1772,0.348
36,0.1769,0.3467
23,0.1768,0.3471
21,0.1767,0.3469
29,0.1765,0.3474
64,0.1761,0.3465
74,0.1759,0.3459
80,0.1757,0.3464
55,0.175,0.3455
4,0.1747,0.3447
18,0.1747,0.3445
93,0.1745,0.3454
90,0.1744,0.3437
28,0.1733,0.3423
24,0.1722,0.3412
7,0.1717,0.3417
48,0.1716,0.3405
39,0.1711,0.3406
79,0.1709,0.3401
45,0.1703,0.34
69,0.1697,0.3382
86,0.1692,0.3381
72,0.1691,0.3385
58,0.1683,0.3371
91,0.168,0.3371
13,0.1663,0.3344
10,0.166,0.3333
78,0.1654,0.3336
17,0.1652,0.3326
35,0.1642,0.3315
62,0.164,0.3319
60,0.1637,0.332
32,0.1635,0.3315
77,0.1623,0.3295
67,0.1623,0.3297
68,0.1623,0.3299
1,0.1621,0.3296
12,0.1611,0.3278
52,0.1603,0.3274
44,0.1599,0.3269
94,0.1597,0.3262
41,0.1593,0.3253
6,0.159,0.326
19,0.1586,0.3249
51,0.1577,0.3239
37,0.1569,0.3231
56,0.1562,0.3223
57,0.1555,0.3216
61,0.1551,0.3211
47,0.1544,0.3204
14,0.1539,0.3193
99,0.1537,0.3193
59,0.1533,0.318
22,0.1472,0.3103
83,0.1448,0.3079
76,0.1434,0.3059
46,0.1352,0.2957
20,0.132,0.2924
209,0.1303,0.2894
