seed,mse,mae
78,1.0367,0.8106
142,1.0362,0.8101
61,1.0274,0.809
229,1.0239,0.8064
202,0.3119,0.4041
57,0.3076,0.4019
122,0.3065,0.3998
76,0.3064,0.3999
228,0.306,0.4008
224,0.3054,0.4
223,0.3046,0.3972
75,0.304,0.3973
138,0.3029,0.3972
227,0.3028,0.3981
97,0.3026,0.3971
225,0.302,0.3971
226,0.3018,0.3966
143,0.3018,0.3946
205,0.3013,0.3974
141,0.3013,0.3944
54,0.3012,0.396
203,0.3012,0.3959
79,0.3008,0.3956
222,0.3007,0.3961
201,0.3007,0.3958
140,0.3004,0.3966
80,0.3004,0.3944
56,0.3003,0.3955
121,0.3001,0.3953
204,0.2997,0.3946
59,0.2997,0.394
55,0.2996,0.3936
206,0.299,0.3933
139,0.2989,0.3935
60,0.2989,0.3952
77,0.2986,0.3932
58,0.2982,0.395
118,0.2979,0.3933
120,0.2975,0.393
98,0.2965,0.3925
96,0.2965,0.3919
117,0.2959,0.3901
119,0.2882,0.3822
81,0.2869,0.3812
