seed,mse,mae
78,0.9484,0.7809
75,0.2074,0.3304
76,0.2056,0.329
57,0.2045,0.3276
139,0.2043,0.3282
119,0.2039,0.3271
180,0.2039,0.3279
223,0.2036,0.327
56,0.2035,0.3262
202,0.2035,0.3269
222,0.2033,0.3266
77,0.2032,0.3264
97,0.2031,0.3265
224,0.203,0.3259
204,0.203,0.3269
80,0.203,0.3269
79,0.2029,0.326
160,0.2027,0.3263
117,0.2026,0.3261
55,0.2025,0.3265
58,0.2025,0.3267
225,0.2024,0.3257
118,0.2024,0.3259
182,0.2024,0.3256
201,0.2022,0.3264
161,0.2022,0.3261
183,0.2018,0.3245
140,0.2018,0.3259
203,0.2017,0.3253
96,0.2017,0.3251
138,0.2014,0.3251
54,0.2013,0.3248
81,0.1901,0.3102
181,0.1899,0.3118
159,0.1871,0.3077
