seed,mse,mae
163,1.0053,0.7981
163,1.0053,0.7981
78,1.001,0.7951
186,0.9971,0.797
186,0.9971,0.797
55,0.9926,0.7956
142,0.9922,0.7947
75,0.2695,0.3726
183,0.2644,0.3673
183,0.2644,0.3673
97,0.2628,0.3672
204,0.2626,0.3657
138,0.262,0.3668
60,0.2619,0.3668
56,0.2617,0.3656
61,0.2616,0.366
164,0.2616,0.3646
164,0.2616,0.3646
120,0.2614,0.3654
57,0.2613,0.3666
62,0.2613,0.3648
180,0.2611,0.3668
180,0.2611,0.3668
54,0.2609,0.3655
59,0.2608,0.3648
141,0.2603,0.364
139,0.26,0.364
161,0.2599,0.366
161,0.2599,0.366
185,0.2597,0.3644
185,0.2597,0.3644
119,0.2596,0.3639
225,0.2596,0.364
182,0.2591,0.3634
77,0.2591,0.3639
182,0.2591,0.3634
223,0.259,0.3646
58,0.2586,0.3643
140,0.2586,0.3635
160,0.2586,0.3623
160,0.2586,0.3623
202,0.2585,0.3641
226,0.2583,0.363
98,0.2582,0.3634
224,0.2578,0.3622
162,0.2577,0.3628
96,0.2577,0.363
162,0.2577,0.3628
222,0.2576,0.3621
76,0.2574,0.3619
201,0.257,0.362
118,0.2567,0.3617
203,0.2567,0.3612
79,0.2563,0.3615
117,0.2553,0.3595
184,0.2518,0.3555
184,0.2518,0.3555
181,0.2481,0.3509
181,0.2481,0.3509
159,0.2453,0.3488
159,0.2453,0.3488
