seed,mse,mae
265,0.0877,0.2326
302,0.0877,0.2314
272,0.0876,0.2332
208,0.0875,0.232
103,0.0875,0.2335
253,0.0874,0.2319
97,0.0874,0.2317
282,0.0874,0.232
253,0.0874,0.2319
102,0.0873,0.2316
6,0.0873,0.234
261,0.0873,0.2311
261,0.0873,0.2311
200,0.0873,0.2316
244,0.0872,0.2318
244,0.0872,0.2318
260,0.0871,0.2317
71,0.0871,0.233
260,0.0871,0.2317
69,0.0871,0.2321
84,0.087,0.2316
85,0.087,0.2316
250,0.0868,0.2316
264,0.0868,0.2312
250,0.0868,0.2316
127,0.0868,0.2313
149,0.0868,0.2317
177,0.0867,0.2309
76,0.0867,0.231
196,0.0866,0.2304
130,0.0866,0.2301
154,0.0866,0.2313
30,0.0865,0.2305
137,0.0864,0.231
123,0.0864,0.2331
184,0.0864,0.2311
169,0.0863,0.2306
204,0.0862,0.2306
101,0.0862,0.2322
227,0.0861,0.2309
227,0.0861,0.2309
159,0.086,0.2316
40,0.086,0.2302
121,0.086,0.2318
222,0.0859,0.2309
222,0.0859,0.2309
215,0.0858,0.2299
288,0.0858,0.2322
173,0.0858,0.2311
288,0.0858,0.2322
278,0.0857,0.2311
75,0.0857,0.2301
60,0.0857,0.2305
141,0.0856,0.2301
10,0.0856,0.2308
287,0.0856,0.2304
287,0.0856,0.2304
104,0.0856,0.2305
182,0.0856,0.2315
274,0.0856,0.2297
16,0.0855,0.2306
20,0.0854,0.2291
134,0.0852,0.2306
300,0.0852,0.2303
55,0.0852,0.2307
300,0.0852,0.2303
187,0.0852,0.2298
53,0.085,0.2295
47,0.085,0.231
107,0.085,0.231
205,0.0849,0.2294
51,0.0849,0.2294
49,0.0847,0.2303
92,0.0844,0.2306
93,0.0844,0.2297
171,0.0842,0.2299
110,0.0842,0.2316
281,0.0842,0.2287
286,0.0839,0.2304
298,0.0839,0.2289
298,0.0839,0.2289
286,0.0839,0.2304
29,0.0838,0.2301
178,0.0834,0.2279
295,0.0833,0.2313
256,0.0833,0.2288
256,0.0833,0.2288
295,0.0833,0.2313
67,0.0832,0.2281
73,0.0829,0.2281
46,0.0826,0.2269
91,0.0826,0.2291
147,0.0824,0.2269
37,0.0823,0.2277
194,0.0822,0.2274
36,0.0822,0.2268
206,0.0821,0.2286
163,0.0814,0.2252
