seed,mse,mae
201,0.195,0.2446
55,0.1924,0.2436
180,0.1913,0.2414
120,0.1913,0.2411
180,0.1913,0.2414
161,0.1908,0.2416
161,0.1908,0.2416
96,0.1905,0.2423
99,0.1903,0.2433
97,0.1902,0.2399
222,0.1896,0.2394
76,0.1894,0.2428
181,0.1892,0.2411
181,0.1892,0.2411
117,0.188,0.239
56,0.188,0.2355
202,0.1879,0.2374
119,0.1878,0.2383
160,0.1877,0.2379
160,0.1877,0.2379
98,0.1876,0.239
75,0.1871,0.2372
182,0.1871,0.2393
159,0.1862,0.2362
159,0.1862,0.2362
118,0.1861,0.2349
139,0.186,0.238
138,0.1859,0.2346
223,0.1858,0.2347
140,0.1858,0.2344
54,0.1857,0.2365
162,0.1843,0.2326
162,0.1843,0.2326
203,0.1843,0.2341
