seed,mse,mae
222,0.2642,0.299
140,0.2603,0.2997
223,0.2589,0.3001
96,0.2587,0.2963
203,0.2583,0.2946
141,0.2577,0.2952
226,0.2576,0.296
139,0.2572,0.2953
121,0.2571,0.2943
118,0.2571,0.293
56,0.257,0.2953
58,0.257,0.2967
57,0.2566,0.2962
98,0.2561,0.2926
76,0.2553,0.2903
224,0.255,0.2935
75,0.254,0.2937
78,0.2539,0.2863
138,0.2538,0.2904
202,0.2534,0.293
99,0.2529,0.2866
225,0.2521,0.2908
142,0.2519,0.2892
97,0.2519,0.2908
201,0.2513,0.2925
54,0.2511,0.2916
119,0.2506,0.2888
55,0.2504,0.2916
117,0.2495,0.2895
204,0.2471,0.2814
120,0.2465,0.2857
77,0.2451,0.2864
