seed,mse,mae
153,0.2498,0.3522
140,0.2495,0.3503
36,0.2492,0.3515
53,0.2492,0.3517
62,0.249,0.3495
132,0.2488,0.3504
103,0.2487,0.3502
26,0.2486,0.3498
11,0.2477,0.3498
15,0.2474,0.3474
126,0.2474,0.349
107,0.2469,0.3487
163,0.2469,0.3486
111,0.2468,0.3481
176,0.2468,0.349
67,0.2467,0.3484
124,0.2467,0.3484
172,0.2466,0.3491
63,0.2466,0.348
28,0.2466,0.3491
188,0.2465,0.3482
54,0.2463,0.3491
131,0.2463,0.3487
178,0.2462,0.3479
177,0.2462,0.3475
57,0.2462,0.3474
119,0.2462,0.3486
179,0.246,0.3474
109,0.2459,0.3476
122,0.2459,0.3486
76,0.2459,0.3479
58,0.2458,0.3482
51,0.2457,0.3466
8,0.2457,0.3486
184,0.2456,0.3476
79,0.2456,0.3477
116,0.2455,0.3475
4,0.2454,0.3484
21,0.2453,0.3475
78,0.2452,0.3476
190,0.2452,0.3468
171,0.2452,0.3477
136,0.2451,0.3476
175,0.2451,0.3478
186,0.2451,0.3485
180,0.2451,0.3471
34,0.2451,0.3472
133,0.2451,0.3471
66,0.245,0.3474
68,0.2449,0.3471
72,0.2449,0.3477
32,0.2449,0.3479
101,0.2449,0.3474
19,0.2448,0.3465
7,0.2448,0.3474
70,0.2448,0.3462
128,0.2448,0.3474
115,0.2447,0.3468
75,0.2447,0.3468
73,0.2447,0.3462
35,0.2447,0.3464
22,0.2446,0.3467
165,0.2446,0.3469
71,0.2445,0.3467
160,0.2445,0.3466
127,0.2445,0.3475
13,0.2445,0.3456
139,0.2444,0.3471
59,0.2444,0.3468
152,0.2444,0.3468
104,0.2443,0.3461
173,0.2443,0.3459
134,0.2443,0.3474
16,0.2443,0.3472
118,0.2443,0.3464
123,0.2442,0.3472
18,0.2441,0.3459
80,0.2441,0.3469
31,0.244,0.3461
25,0.244,0.3465
6,0.244,0.3461
110,0.244,0.3464
162,0.2439,0.3468
85,0.2439,0.3461
168,0.2439,0.3461
65,0.2438,0.3466
87,0.2437,0.3462
29,0.2437,0.3459
166,0.2437,0.347
135,0.2436,0.3464
187,0.2435,0.347
77,0.2435,0.3459
183,0.2434,0.3458
3,0.2433,0.3463
121,0.2433,0.3462
137,0.2433,0.3451
182,0.2432,0.3454
88,0.2432,0.3457
30,0.2432,0.3452
10,0.2432,0.3459
23,0.2432,0.3457
174,0.2431,0.3464
82,0.2431,0.3463
159,0.2431,0.3467
154,0.2431,0.3456
55,0.243,0.3456
106,0.243,0.3456
158,0.243,0.3459
181,0.2429,0.346
9,0.2429,0.3448
169,0.2428,0.3466
64,0.2428,0.3466
125,0.2428,0.3457
155,0.2428,0.3446
156,0.2428,0.3453
130,0.2427,0.3453
83,0.2427,0.345
56,0.2427,0.3446
120,0.2427,0.3452
113,0.2426,0.3447
167,0.2426,0.3448
108,0.2426,0.3457
14,0.2426,0.3451
81,0.2424,0.3453
27,0.2424,0.3447
138,0.2423,0.3442
170,0.2423,0.345
161,0.2423,0.3449
157,0.2423,0.3453
2,0.2423,0.3451
86,0.2422,0.3447
61,0.2422,0.3453
1,0.2421,0.3445
102,0.2421,0.3447
33,0.2419,0.3445
24,0.2418,0.3449
117,0.2418,0.3443
105,0.2417,0.3441
20,0.2417,0.344
74,0.2417,0.3448
164,0.2416,0.3441
185,0.2415,0.3444
17,0.2414,0.3446
5,0.2414,0.3441
112,0.2414,0.3439
60,0.2412,0.3442
129,0.2412,0.3441
0,0.2412,0.3444
69,0.2411,0.3437
84,0.2411,0.3446
52,0.2411,0.3434
114,0.2409,0.3434
189,0.2408,0.3435
12,0.2408,0.3432
