seed,mse,mae
3,0.3433,0.4364
85,0.3368,0.4306
103,0.3335,0.4278
30,0.3322,0.4275
186,0.3319,0.4264
125,0.3311,0.4274
27,0.3304,0.4264
158,0.3303,0.4265
25,0.3301,0.426
187,0.3295,0.4274
144,0.3295,0.4282
26,0.3291,0.4248
133,0.3284,0.425
197,0.327,0.4256
16,0.3268,0.4236
35,0.3267,0.4249
142,0.3266,0.4236
135,0.3265,0.4237
1,0.3264,0.4245
127,0.3263,0.424
138,0.3262,0.4232
124,0.3257,0.4242
161,0.3256,0.4247
188,0.3255,0.4226
6,0.3254,0.4227
184,0.3254,0.4229
87,0.3253,0.4238
145,0.325,0.4231
104,0.3249,0.4224
21,0.3248,0.4203
191,0.3248,0.4219
139,0.3247,0.4217
64,0.3247,0.4232
189,0.3245,0.4225
152,0.3244,0.422
180,0.3242,0.4214
28,0.3242,0.4207
105,0.3241,0.421
13,0.324,0.422
164,0.3238,0.4216
63,0.3238,0.4198
106,0.3236,0.4216
2,0.3235,0.4211
137,0.3233,0.4218
74,0.3233,0.4201
121,0.323,0.4209
40,0.323,0.4202
192,0.3229,0.4203
182,0.3229,0.4218
32,0.3229,0.4211
53,0.3228,0.4215
140,0.3227,0.421
123,0.3227,0.4211
10,0.3226,0.4216
167,0.3225,0.4205
172,0.3224,0.4205
36,0.3224,0.4212
22,0.3223,0.4214
163,0.3223,0.4198
86,0.3222,0.4199
42,0.3222,0.4217
195,0.3222,0.42
171,0.3221,0.4206
91,0.3221,0.4199
89,0.322,0.42
62,0.322,0.4203
37,0.3219,0.4202
83,0.3219,0.4206
132,0.3219,0.4199
67,0.3218,0.4215
11,0.3218,0.4203
17,0.3218,0.4196
56,0.3217,0.4197
177,0.3217,0.4212
12,0.3217,0.422
19,0.3217,0.4207
77,0.3216,0.4192
146,0.3216,0.4203
168,0.3216,0.4199
18,0.3215,0.4192
80,0.3215,0.4199
194,0.3215,0.4215
112,0.3215,0.4189
114,0.3215,0.4193
60,0.3213,0.4191
66,0.3213,0.4198
185,0.3213,0.4195
130,0.3213,0.4202
120,0.3212,0.4204
101,0.3211,0.4191
169,0.3211,0.4207
29,0.3211,0.4197
134,0.3211,0.4206
160,0.3211,0.4183
79,0.321,0.418
33,0.3209,0.4181
165,0.3209,0.42
38,0.3208,0.4195
178,0.3207,0.4192
102,0.3207,0.4193
61,0.3207,0.4197
109,0.3205,0.4191
59,0.3205,0.4188
90,0.3204,0.42
126,0.3204,0.4192
128,0.3204,0.4191
23,0.3203,0.4189
73,0.3203,0.419
69,0.3202,0.4208
193,0.3202,0.4187
34,0.3201,0.4194
190,0.3201,0.4184
173,0.3201,0.4197
155,0.32,0.4203
70,0.32,0.4195
153,0.32,0.4188
107,0.32,0.419
116,0.32,0.4188
57,0.3199,0.4184
183,0.3199,0.4196
5,0.3199,0.4192
41,0.3199,0.4186
157,0.3199,0.4191
111,0.3199,0.4194
51,0.3198,0.4195
108,0.3198,0.419
71,0.3198,0.4189
181,0.3197,0.4178
196,0.3197,0.4189
0,0.3196,0.4189
198,0.3195,0.4189
76,0.3194,0.418
68,0.3194,0.4187
154,0.3194,0.418
8,0.3194,0.4183
58,0.3193,0.4184
110,0.3193,0.4185
31,0.3193,0.4185
117,0.3193,0.4186
143,0.3193,0.4182
136,0.3192,0.4184
175,0.3192,0.418
9,0.3192,0.4183
24,0.3191,0.4176
141,0.319,0.4175
115,0.319,0.4184
20,0.319,0.4183
170,0.3189,0.4177
65,0.3189,0.4187
72,0.3189,0.418
52,0.3188,0.4176
54,0.3187,0.4176
84,0.3187,0.4178
122,0.3186,0.417
4,0.3186,0.4176
166,0.3186,0.4181
15,0.3185,0.4173
75,0.3184,0.417
179,0.3184,0.4178
118,0.3183,0.4175
14,0.3183,0.4177
55,0.3183,0.4182
78,0.3183,0.4173
82,0.3182,0.418
81,0.3181,0.4177
113,0.318,0.4175
39,0.3179,0.417
156,0.3179,0.4181
131,0.3175,0.4181
88,0.3175,0.4171
162,0.3175,0.4167
174,0.3174,0.4173
129,0.3173,0.4174
176,0.317,0.4174
119,0.317,0.4169
7,0.3167,0.4168
159,0.3166,0.4166
