seed,mse,mae
65,0.2927,0.3843
74,0.2926,0.3819
58,0.2924,0.3844
16,0.2922,0.385
67,0.2915,0.3837
171,0.2912,0.3845
4,0.291,0.3845
0,0.291,0.3824
174,0.2907,0.3824
8,0.2901,0.382
102,0.2899,0.382
56,0.2899,0.3816
1,0.2898,0.3814
101,0.2896,0.3818
124,0.2893,0.3824
21,0.2893,0.3811
64,0.2891,0.3824
13,0.289,0.3821
63,0.2887,0.3813
15,0.2886,0.3791
110,0.2886,0.3814
114,0.2884,0.3811
108,0.2882,0.3802
163,0.2879,0.3803
107,0.2879,0.3801
19,0.2878,0.381
106,0.2878,0.3808
22,0.2876,0.3815
157,0.2874,0.3792
118,0.2874,0.3818
165,0.2874,0.3793
116,0.2874,0.3795
70,0.2873,0.3801
164,0.2873,0.3791
162,0.2872,0.3807
104,0.2872,0.3787
169,0.2869,0.3796
18,0.2869,0.3788
10,0.2868,0.3795
14,0.2868,0.3796
153,0.2867,0.3803
121,0.2864,0.3799
72,0.2864,0.3792
51,0.2862,0.3793
170,0.2862,0.3796
166,0.2862,0.3796
9,0.2862,0.3796
2,0.286,0.3785
71,0.286,0.3793
59,0.286,0.3789
3,0.2859,0.3788
111,0.2859,0.379
115,0.2857,0.3781
73,0.2857,0.3787
159,0.2857,0.3786
62,0.2857,0.379
66,0.2857,0.379
7,0.2856,0.3784
175,0.2855,0.3796
160,0.2853,0.3789
168,0.2853,0.3788
60,0.2853,0.3777
113,0.2852,0.3795
11,0.2852,0.3783
173,0.2852,0.3789
152,0.2851,0.3784
68,0.285,0.3778
117,0.285,0.3782
172,0.2849,0.3782
119,0.2849,0.3778
6,0.2848,0.3781
57,0.2848,0.3785
52,0.2848,0.3781
105,0.2848,0.3777
122,0.2847,0.3777
24,0.2847,0.3782
125,0.2847,0.3774
109,0.2847,0.3776
167,0.2847,0.3784
23,0.2846,0.3784
154,0.2845,0.3792
25,0.2845,0.3784
123,0.2845,0.3779
155,0.2845,0.3781
161,0.2844,0.3775
55,0.2843,0.3777
120,0.2842,0.3775
156,0.2841,0.3777
17,0.284,0.3777
54,0.2837,0.3772
69,0.2836,0.378
176,0.2835,0.3774
75,0.2834,0.3772
61,0.2833,0.3772
112,0.2831,0.3772
53,0.283,0.3773
5,0.2829,0.3765
20,0.2828,0.3769
158,0.2828,0.3765
12,0.2823,0.3761
103,0.2819,0.3763
