seed,mse,mae
267,0.3352,0.3475
264,0.3335,0.3466
76,0.3331,0.3552
161,0.3317,0.3525
270,0.3272,0.3467
163,0.3248,0.3466
265,0.3244,0.3407
160,0.3238,0.3451
266,0.3233,0.3417
0,0.3225,0.3373
164,0.3218,0.3399
165,0.3215,0.3496
268,0.3209,0.3463
269,0.3191,0.3419
167,0.3176,0.3389
166,0.3167,0.3361
272,0.3167,0.3428
12,0.3153,0.3407
159,0.3109,0.3357
1,0.3108,0.3309
271,0.3082,0.3322
75,0.3082,0.3271
162,0.3078,0.3329
