seed,mse,mae
156,0.0817,0.2136
74,0.0816,0.2137
154,0.0813,0.2136
126,0.0809,0.2125
146,0.0806,0.2118
161,0.0793,0.2104
174,0.079,0.2108
81,0.0785,0.2099
138,0.0785,0.2103
60,0.0784,0.2097
75,0.0783,0.2095
123,0.0782,0.2097
129,0.0781,0.2092
56,0.078,0.2098
54,0.0779,0.2098
180,0.0778,0.2088
63,0.0777,0.2083
64,0.0777,0.2094
95,0.0775,0.2096
51,0.0773,0.2084
58,0.0773,0.2076
90,0.0772,0.208
153,0.0771,0.2086
88,0.0771,0.2081
143,0.077,0.208
61,0.077,0.2075
151,0.0769,0.208
131,0.0768,0.208
124,0.0766,0.2073
172,0.0765,0.2074
82,0.0764,0.2075
185,0.0763,0.2071
84,0.0761,0.2081
137,0.076,0.2066
187,0.076,0.2067
182,0.076,0.2077
139,0.0759,0.2066
66,0.0759,0.2064
57,0.0757,0.2064
114,0.0757,0.2065
133,0.0757,0.2062
107,0.0756,0.2061
53,0.0756,0.2059
179,0.0755,0.2074
100,0.0755,0.2063
86,0.0755,0.2057
202,0.0755,0.2067
68,0.0754,0.206
97,0.0754,0.2062
101,0.0753,0.2059
87,0.0753,0.2079
181,0.0753,0.2065
79,0.0753,0.2061
148,0.0753,0.206
117,0.0752,0.2058
158,0.0751,0.2057
116,0.0751,0.2071
169,0.0751,0.2059
55,0.075,0.2058
98,0.075,0.2058
166,0.075,0.2055
72,0.0748,0.206
157,0.0748,0.2066
163,0.0747,0.2057
121,0.0747,0.205
115,0.0746,0.2057
177,0.0746,0.2046
159,0.0746,0.205
62,0.0745,0.2065
77,0.0744,0.2057
135,0.0744,0.2049
93,0.0744,0.2058
127,0.0744,0.2047
103,0.0744,0.2051
67,0.0743,0.2062
164,0.0743,0.2065
111,0.0742,0.2062
140,0.0742,0.2048
83,0.0742,0.2064
120,0.0742,0.2052
195,0.0741,0.205
96,0.0741,0.2044
52,0.0741,0.205
69,0.074,0.2049
190,0.074,0.2043
193,0.074,0.2049
178,0.074,0.2043
108,0.0739,0.2037
113,0.0738,0.2041
170,0.0737,0.2053
85,0.0736,0.2049
144,0.0735,0.2051
99,0.0735,0.2048
65,0.0735,0.2043
167,0.0734,0.2046
59,0.0734,0.2035
152,0.0734,0.2035
183,0.0733,0.2045
149,0.0733,0.208
147,0.0733,0.2036
171,0.0733,0.2047
175,0.0732,0.2047
102,0.0732,0.205
176,0.0731,0.2045
198,0.073,0.2038
76,0.073,0.2037
173,0.073,0.2039
94,0.0729,0.2056
168,0.0729,0.2069
199,0.0728,0.2038
192,0.0728,0.204
155,0.0728,0.2043
201,0.0728,0.2034
145,0.0727,0.2034
105,0.0726,0.2071
70,0.0726,0.2044
104,0.0726,0.203
132,0.0726,0.2045
194,0.0725,0.2081
80,0.0725,0.205
128,0.0724,0.203
109,0.0724,0.2044
191,0.0722,0.2036
197,0.0721,0.2034
186,0.0721,0.2029
91,0.0719,0.2028
136,0.0717,0.203
189,0.0717,0.2041
165,0.0716,0.2025
188,0.0715,0.2051
196,0.0713,0.2024
150,0.0712,0.2023
125,0.0711,0.2079
162,0.071,0.2027
122,0.071,0.2027
71,0.071,0.2092
184,0.0709,0.204
134,0.0708,0.2019
106,0.0706,0.2054
142,0.0706,0.2024
200,0.0706,0.2014
89,0.0704,0.2032
141,0.0704,0.2019
78,0.0703,0.2026
130,0.0702,0.2026
119,0.0702,0.2031
118,0.0702,0.2048
110,0.0701,0.2038
73,0.0701,0.2016
112,0.0698,0.2051
92,0.0696,0.2027
160,0.0687,0.2017
