seed,mse,mae
39,0.0582,0.1809
115,0.0566,0.1777
124,0.0565,0.178
221,0.0553,0.1759
204,0.0551,0.1749
180,0.055,0.1751
261,0.0549,0.1755
263,0.0546,0.1749
111,0.0545,0.1741
86,0.0543,0.1747
54,0.0539,0.1739
89,0.0539,0.1734
105,0.0538,0.1741
155,0.0537,0.1734
104,0.0537,0.173
31,0.0532,0.172
27,0.0532,0.173
142,0.053,0.1718
233,0.0529,0.1717
153,0.0529,0.1715
304,0.0528,0.1728
167,0.0527,0.171
239,0.0519,0.1696
251,0.0518,0.1697
119,0.0517,0.169
32,0.0516,0.17
122,0.0516,0.1699
196,0.0515,0.1698
202,0.0515,0.1688
267,0.0514,0.1688
226,0.0513,0.1686
250,0.0512,0.1685
24,0.0511,0.1694
190,0.0511,0.1683
181,0.051,0.1685
10,0.051,0.1679
208,0.051,0.1689
156,0.0509,0.1692
137,0.0509,0.168
169,0.0507,0.1674
120,0.0506,0.1683
145,0.0505,0.1669
80,0.0505,0.1674
217,0.0505,0.1677
128,0.0505,0.1676
2,0.0505,0.1684
247,0.0504,0.167
77,0.0504,0.1679
215,0.0504,0.1666
55,0.0503,0.1671
74,0.0503,0.1669
132,0.0502,0.1666
51,0.0502,0.1672
160,0.05,0.167
264,0.05,0.1661
130,0.05,0.1665
101,0.05,0.1667
79,0.0499,0.1664
258,0.0499,0.166
35,0.0499,0.1662
81,0.0498,0.1659
18,0.0498,0.166
136,0.0497,0.1658
139,0.0497,0.1659
152,0.0497,0.166
161,0.0497,0.1664
235,0.0496,0.166
296,0.0495,0.1657
205,0.0495,0.1654
88,0.0495,0.1663
249,0.0494,0.1664
252,0.0493,0.1655
248,0.0493,0.1649
193,0.0493,0.1654
290,0.0492,0.1655
177,0.0492,0.1647
57,0.0491,0.1646
195,0.0491,0.1651
43,0.0491,0.1652
118,0.0491,0.1656
36,0.0491,0.1651
297,0.0491,0.1645
285,0.0491,0.1652
166,0.049,0.165
97,0.049,0.1661
8,0.0489,0.1646
231,0.0489,0.1645
188,0.0488,0.1642
189,0.0488,0.1653
192,0.0488,0.1641
109,0.0488,0.1644
244,0.0488,0.1643
26,0.0487,0.1642
173,0.0487,0.1646
198,0.0487,0.1641
230,0.0487,0.1641
93,0.0487,0.1641
121,0.0486,0.1646
273,0.0485,0.1639
172,0.0485,0.1639
143,0.0484,0.1634
289,0.0484,0.1636
300,0.0484,0.1638
123,0.0483,0.1637
16,0.0483,0.1645
112,0.0482,0.1633
20,0.0482,0.1633
271,0.0482,0.1638
108,0.0481,0.163
25,0.0481,0.1631
238,0.048,0.164
84,0.048,0.1628
116,0.048,0.1631
165,0.048,0.1629
246,0.048,0.1632
223,0.048,0.165
76,0.048,0.1628
59,0.048,0.163
44,0.048,0.1627
292,0.0479,0.1631
65,0.0479,0.1631
265,0.0479,0.163
99,0.0479,0.1628
68,0.0479,0.1625
275,0.0479,0.1629
4,0.0479,0.163
52,0.0479,0.1632
184,0.0478,0.1624
203,0.0478,0.1625
23,0.0478,0.1626
253,0.0478,0.1628
34,0.0477,0.1624
278,0.0477,0.1627
63,0.0477,0.1623
299,0.0477,0.1626
269,0.0477,0.1627
69,0.0477,0.1626
220,0.0477,0.1624
229,0.0476,0.1626
73,0.0476,0.1625
114,0.0476,0.1629
11,0.0476,0.1632
14,0.0475,0.1623
1,0.0475,0.1625
106,0.0475,0.162
216,0.0475,0.1622
64,0.0475,0.1624
82,0.0475,0.1621
15,0.0474,0.1621
277,0.0474,0.1617
146,0.0474,0.1628
70,0.0474,0.1618
286,0.0473,0.1616
9,0.0473,0.1617
211,0.0473,0.1617
186,0.0472,0.1618
144,0.0472,0.1619
197,0.0472,0.1623
151,0.0472,0.1622
175,0.0472,0.1621
100,0.0472,0.1614
58,0.0471,0.1614
90,0.0471,0.1613
254,0.0471,0.1615
179,0.0471,0.162
159,0.0471,0.1621
255,0.0471,0.1612
53,0.0471,0.1622
95,0.047,0.161
170,0.047,0.1618
6,0.047,0.1616
280,0.047,0.1622
291,0.0469,0.1611
110,0.0469,0.1615
206,0.0469,0.1616
0,0.0469,0.1612
282,0.0469,0.1614
135,0.0468,0.1613
257,0.0468,0.1609
176,0.0468,0.1607
125,0.0468,0.1607
102,0.0468,0.1609
194,0.0468,0.1608
134,0.0467,0.1609
276,0.0467,0.1619
22,0.0467,0.161
33,0.0467,0.1607
163,0.0466,0.1604
207,0.0466,0.1604
262,0.0466,0.1604
148,0.0466,0.1609
210,0.0466,0.161
287,0.0466,0.1604
131,0.0466,0.1605
270,0.0466,0.1605
154,0.0466,0.1604
117,0.0466,0.1606
191,0.0465,0.1607
60,0.0465,0.1605
212,0.0465,0.1604
228,0.0465,0.1604
237,0.0465,0.1607
302,0.0465,0.1606
71,0.0465,0.1602
133,0.0464,0.1606
141,0.0464,0.1606
61,0.0464,0.1607
259,0.0464,0.161
91,0.0464,0.16
295,0.0463,0.1599
94,0.0463,0.1605
164,0.0463,0.1613
284,0.0463,0.16
200,0.0463,0.1617
140,0.0463,0.1612
214,0.0462,0.1605
19,0.0462,0.1602
138,0.0462,0.16
157,0.0462,0.16
303,0.0462,0.16
219,0.0461,0.1604
30,0.0461,0.1609
37,0.0461,0.1612
225,0.0461,0.16
201,0.0461,0.1599
232,0.0461,0.1599
213,0.046,0.1602
21,0.046,0.1605
242,0.046,0.1598
187,0.046,0.1596
41,0.046,0.1596
150,0.046,0.1602
168,0.046,0.16
38,0.046,0.1597
127,0.0459,0.1602
260,0.0459,0.1599
42,0.0459,0.1598
