seed,mse,mae
262,0.1209,0.2851
258,0.0416,0.1557
262,0.0376,0.149
264,0.0369,0.1474
263,0.0357,0.1481
1,0.0328,0.1369
1,0.0328,0.1369
69,0.0326,0.135
218,0.0323,0.1351
169,0.0323,0.1342
176,0.0322,0.134
155,0.0321,0.1344
216,0.032,0.1336
270,0.0318,0.1337
291,0.0318,0.1342
122,0.0318,0.1338
291,0.0318,0.1342
270,0.0318,0.1337
270,0.0318,0.1337
157,0.0317,0.1337
255,0.0316,0.134
255,0.0316,0.134
258,0.0316,0.1332
255,0.0316,0.134
302,0.0314,0.1326
116,0.0314,0.1323
286,0.0313,0.1326
286,0.0313,0.1326
282,0.0313,0.1325
282,0.0313,0.1325
282,0.0313,0.1325
36,0.0312,0.1329
19,0.0311,0.1323
7,0.0311,0.1335
228,0.0311,0.1319
19,0.0311,0.1323
7,0.0311,0.1335
27,0.031,0.1319
27,0.031,0.1319
101,0.031,0.1323
304,0.0309,0.1322
264,0.0309,0.1312
256,0.0309,0.1325
264,0.0309,0.1312
14,0.0308,0.1312
164,0.0308,0.1316
14,0.0308,0.1312
162,0.0308,0.1313
229,0.0308,0.1313
267,0.0307,0.1318
267,0.0307,0.1318
267,0.0307,0.1318
58,0.0307,0.1312
159,0.0307,0.1314
289,0.0307,0.1314
3,0.0307,0.1314
3,0.0307,0.1314
289,0.0307,0.1314
259,0.0307,0.1314
209,0.0307,0.1307
6,0.0307,0.1313
6,0.0307,0.1313
8,0.0306,0.1309
275,0.0306,0.1311
107,0.0306,0.1307
275,0.0306,0.1311
8,0.0306,0.1309
121,0.0306,0.1314
275,0.0306,0.1311
166,0.0306,0.1321
0,0.0305,0.1305
23,0.0305,0.1313
23,0.0305,0.1313
287,0.0305,0.1309
287,0.0305,0.1309
0,0.0305,0.1305
54,0.0304,0.1308
273,0.0304,0.131
268,0.0304,0.1306
268,0.0304,0.1306
268,0.0304,0.1306
114,0.0304,0.1307
273,0.0304,0.131
273,0.0304,0.131
37,0.0303,0.1304
205,0.0303,0.1304
64,0.0303,0.1304
262,0.0303,0.1304
231,0.0303,0.1308
110,0.0302,0.1307
274,0.0302,0.1303
171,0.0302,0.1301
285,0.0302,0.1303
119,0.0302,0.1301
102,0.0302,0.1301
285,0.0302,0.1303
274,0.0302,0.1303
274,0.0302,0.1303
45,0.0302,0.1301
258,0.0302,0.1316
298,0.0301,0.1303
284,0.0301,0.1296
41,0.0301,0.1304
298,0.0301,0.1303
297,0.0301,0.1296
31,0.0301,0.1298
297,0.0301,0.1296
292,0.0301,0.1301
303,0.0301,0.1298
29,0.0301,0.1307
294,0.0301,0.1303
300,0.0301,0.1299
292,0.0301,0.1301
294,0.0301,0.1303
170,0.0301,0.1299
300,0.0301,0.1299
260,0.0301,0.1303
103,0.0301,0.1301
112,0.0301,0.1305
55,0.0301,0.1302
210,0.0301,0.1303
207,0.0301,0.1298
259,0.03,0.1298
2,0.03,0.1302
278,0.03,0.1296
161,0.03,0.1301
203,0.03,0.1294
72,0.03,0.1294
278,0.03,0.1296
123,0.03,0.1299
120,0.03,0.1302
47,0.03,0.1306
2,0.03,0.1302
158,0.03,0.1297
278,0.03,0.1296
17,0.0299,0.1298
17,0.0299,0.1298
220,0.0299,0.1296
156,0.0299,0.1294
50,0.0299,0.1297
25,0.0299,0.1294
25,0.0299,0.1294
28,0.0299,0.1294
28,0.0299,0.1294
232,0.0299,0.131
67,0.0298,0.1291
213,0.0298,0.1295
206,0.0298,0.1293
279,0.0298,0.13
283,0.0298,0.129
226,0.0298,0.1305
127,0.0298,0.1288
283,0.0298,0.129
179,0.0298,0.1293
281,0.0298,0.1308
279,0.0298,0.13
283,0.0298,0.129
281,0.0298,0.1308
281,0.0298,0.1308
60,0.0298,0.1296
260,0.0297,0.1292
56,0.0297,0.129
9,0.0297,0.1291
265,0.0297,0.1288
9,0.0297,0.1291
172,0.0297,0.1294
18,0.0297,0.1292
301,0.0297,0.1293
265,0.0297,0.1288
152,0.0297,0.1289
265,0.0297,0.1288
18,0.0297,0.1292
175,0.0296,0.1287
13,0.0296,0.1289
13,0.0296,0.1289
211,0.0296,0.1288
254,0.0296,0.1286
74,0.0296,0.1292
290,0.0296,0.1291
4,0.0296,0.1291
168,0.0296,0.1292
230,0.0296,0.1288
4,0.0296,0.1291
254,0.0296,0.1286
254,0.0296,0.1286
214,0.0296,0.129
256,0.0296,0.1292
290,0.0296,0.1291
59,0.0296,0.1288
293,0.0295,0.1289
222,0.0295,0.1291
154,0.0295,0.129
160,0.0295,0.1288
51,0.0295,0.1289
288,0.0295,0.1287
75,0.0295,0.1287
20,0.0295,0.1294
225,0.0295,0.1289
20,0.0295,0.1294
221,0.0295,0.1289
46,0.0295,0.1291
288,0.0295,0.1287
48,0.0295,0.1289
173,0.0295,0.1285
22,0.0295,0.1286
38,0.0295,0.1291
22,0.0295,0.1286
293,0.0295,0.1289
21,0.0295,0.1291
21,0.0295,0.1291
295,0.0294,0.1283
280,0.0294,0.1297
57,0.0294,0.1284
43,0.0294,0.1282
295,0.0294,0.1283
42,0.0294,0.1287
280,0.0294,0.1297
276,0.0293,0.1281
35,0.0293,0.1282
276,0.0293,0.1281
165,0.0293,0.1283
117,0.0293,0.1282
217,0.0293,0.1284
52,0.0293,0.1287
33,0.0293,0.1288
276,0.0293,0.1281
178,0.0292,0.1282
115,0.0292,0.1282
266,0.0292,0.1282
280,0.0292,0.1295
266,0.0292,0.1282
259,0.0292,0.1288
76,0.0292,0.1289
129,0.0292,0.1283
167,0.0292,0.1282
266,0.0292,0.1282
223,0.0292,0.1281
257,0.0292,0.128
257,0.0292,0.128
261,0.0292,0.1285
126,0.0291,0.1279
40,0.0291,0.1293
16,0.0291,0.1281
257,0.0291,0.1279
296,0.0291,0.1277
16,0.0291,0.1281
24,0.0291,0.1284
77,0.0291,0.128
130,0.0291,0.1281
296,0.0291,0.1277
24,0.0291,0.1284
299,0.029,0.1278
299,0.029,0.1278
32,0.029,0.1277
62,0.029,0.1276
63,0.029,0.1278
65,0.029,0.128
219,0.029,0.1277
227,0.029,0.1278
113,0.0289,0.1279
5,0.0289,0.1277
53,0.0289,0.1277
271,0.0289,0.1278
271,0.0289,0.1278
271,0.0289,0.1278
34,0.0289,0.1273
11,0.0289,0.1276
11,0.0289,0.1276
66,0.0289,0.1281
163,0.0289,0.1278
277,0.0289,0.1276
70,0.0289,0.1278
5,0.0289,0.1277
106,0.0289,0.1278
277,0.0289,0.1276
208,0.0289,0.1277
177,0.0289,0.1276
277,0.0289,0.1276
49,0.0289,0.1279
61,0.0289,0.1279
131,0.0288,0.1274
12,0.0288,0.1276
12,0.0288,0.1276
215,0.0288,0.1278
10,0.0288,0.1277
10,0.0288,0.1277
109,0.0288,0.1276
26,0.0288,0.1273
26,0.0288,0.1273
260,0.0288,0.1293
272,0.0287,0.1274
269,0.0287,0.1281
108,0.0287,0.1271
269,0.0287,0.1281
30,0.0287,0.1272
269,0.0287,0.1281
125,0.0287,0.1274
272,0.0287,0.1274
272,0.0287,0.1274
111,0.0287,0.1273
105,0.0287,0.129
124,0.0287,0.1272
68,0.0286,0.1267
15,0.0286,0.1277
15,0.0286,0.1277
118,0.0286,0.1275
73,0.0286,0.1271
128,0.0286,0.1271
78,0.0286,0.1273
224,0.0286,0.1271
212,0.0285,0.1268
71,0.0285,0.1271
263,0.0285,0.1269
39,0.0285,0.1267
261,0.0285,0.1266
44,0.0285,0.1278
263,0.0285,0.1269
261,0.0285,0.1266
204,0.0284,0.1267
174,0.0284,0.127
279,0.0281,0.1268
153,0.028,0.1262
256,0.0276,0.1258
104,0.0275,0.1255
284,0.0273,0.1256
