seed,mse,mae
5,0.2172,0.3927
239,0.2169,0.3929
89,0.2149,0.3905
175,0.2144,0.3913
153,0.214,0.3928
43,0.2138,0.3886
170,0.2117,0.3866
75,0.2117,0.386
73,0.2106,0.3845
26,0.2106,0.3861
230,0.2095,0.3833
60,0.209,0.3838
9,0.2085,0.3831
260,0.2074,0.3815
98,0.2065,0.3813
101,0.2065,0.3819
167,0.2056,0.3805
201,0.2055,0.3798
250,0.2054,0.381
191,0.2052,0.3798
213,0.2039,0.3765
131,0.2037,0.3778
204,0.2036,0.3773
196,0.2031,0.3763
220,0.202,0.3769
25,0.2001,0.3743
88,0.1992,0.3739
16,0.1979,0.3712
227,0.1975,0.3715
82,0.1973,0.371
66,0.1964,0.3703
194,0.1959,0.3699
143,0.1958,0.3694
183,0.1957,0.3686
299,0.1955,0.3683
116,0.1954,0.3692
71,0.1946,0.3676
8,0.1944,0.3687
254,0.1943,0.368
222,0.1941,0.367
232,0.1939,0.3666
216,0.1934,0.3667
40,0.1931,0.3666
70,0.1921,0.3652
295,0.1914,0.3635
63,0.1913,0.3638
168,0.1912,0.3642
142,0.1912,0.3643
234,0.1908,0.363
11,0.1899,0.3614
53,0.1899,0.3628
97,0.1897,0.3623
258,0.1896,0.3608
49,0.1896,0.3622
141,0.1893,0.3616
155,0.188,0.361
54,0.1878,0.3601
65,0.1873,0.3594
42,0.1873,0.3583
208,0.1868,0.3593
229,0.1868,0.3587
273,0.1866,0.3583
270,0.1866,0.3576
290,0.1866,0.3574
139,0.1866,0.358
164,0.1862,0.3586
34,0.1861,0.3577
281,0.1856,0.3574
87,0.1852,0.3575
205,0.1851,0.3573
193,0.185,0.3567
128,0.1849,0.3573
122,0.1848,0.3564
81,0.1845,0.3568
112,0.1844,0.3552
265,0.1841,0.3564
111,0.1841,0.3549
2,0.184,0.3565
74,0.1838,0.3553
156,0.1837,0.3554
242,0.1836,0.3555
188,0.1832,0.3552
130,0.1831,0.3541
225,0.183,0.3544
107,0.1829,0.3534
294,0.1829,0.3552
228,0.1828,0.3536
3,0.1827,0.3542
266,0.1826,0.3546
279,0.1821,0.3528
0,0.1821,0.3533
218,0.1821,0.3529
197,0.1819,0.3535
33,0.1817,0.3522
251,0.1817,0.3527
148,0.1816,0.3523
189,0.1815,0.3527
95,0.181,0.352
100,0.1809,0.352
162,0.1807,0.352
296,0.1806,0.3518
