seed,mse,mae
65,0.293,0.3845
58,0.2923,0.3843
0,0.291,0.3824
4,0.2909,0.3844
57,0.2905,0.3838
8,0.29,0.382
56,0.2894,0.3813
63,0.2893,0.3809
60,0.2892,0.3808
2,0.2892,0.3821
64,0.2891,0.3824
1,0.2891,0.3811
13,0.2889,0.3821
15,0.2885,0.3803
70,0.2871,0.38
69,0.2869,0.379
51,0.2869,0.3797
9,0.2865,0.3796
59,0.2864,0.3785
16,0.2859,0.3794
18,0.2858,0.3788
10,0.2856,0.3789
67,0.2856,0.3791
3,0.2854,0.3792
66,0.2854,0.3795
5,0.2853,0.3779
17,0.2851,0.3786
7,0.285,0.3782
52,0.285,0.3785
54,0.285,0.3784
14,0.2846,0.3786
53,0.2846,0.3776
55,0.2845,0.3776
61,0.2845,0.3779
11,0.2842,0.3775
68,0.2839,0.3773
62,0.2837,0.3782
6,0.2836,0.3768
12,0.2828,0.3767
