seed,mse,mae
0,0.1882,0.3084
104,0.1881,0.3069
15,0.188,0.3071
181,0.1879,0.3077
247,0.1878,0.3075
229,0.1877,0.3077
99,0.1876,0.307
81,0.1875,0.3081
3,0.1875,0.3062
204,0.1874,0.3073
182,0.1874,0.3073
78,0.1873,0.3076
140,0.1872,0.3068
143,0.1871,0.3065
203,0.187,0.3065
138,0.187,0.3062
54,0.187,0.3062
184,0.1869,0.3061
119,0.1869,0.3063
161,0.1868,0.3068
102,0.1868,0.3074
207,0.1868,0.3064
2,0.1868,0.3064
13,0.1867,0.3063
118,0.1867,0.3066
19,0.1867,0.3067
100,0.1866,0.307
76,0.1866,0.3065
294,0.1866,0.3059
162,0.1865,0.3068
205,0.1864,0.3055
75,0.1864,0.3058
60,0.1864,0.3053
286,0.1864,0.3058
248,0.1863,0.3052
80,0.1863,0.3054
121,0.1863,0.305
226,0.1863,0.306
159,0.1862,0.3058
82,0.1862,0.3058
287,0.1862,0.3054
122,0.1862,0.306
98,0.1862,0.3059
35,0.1862,0.3052
292,0.1862,0.3049
101,0.1861,0.3051
14,0.1861,0.3054
145,0.1861,0.3057
120,0.186,0.3061
293,0.186,0.3054
202,0.186,0.3051
295,0.186,0.3056
185,0.186,0.3057
180,0.1859,0.3051
223,0.1859,0.3058
1,0.1858,0.306
58,0.1858,0.3052
39,0.1858,0.3049
163,0.1858,0.3051
285,0.1857,0.3056
225,0.1857,0.3052
249,0.1857,0.3049
12,0.1856,0.3051
37,0.1856,0.3054
291,0.1856,0.3048
117,0.1855,0.305
206,0.1855,0.305
83,0.1855,0.3056
144,0.1855,0.3051
34,0.1855,0.3051
268,0.1854,0.305
266,0.1854,0.3046
244,0.1854,0.305
103,0.1853,0.3047
16,0.1853,0.3049
288,0.1852,0.3041
17,0.1852,0.3049
290,0.1852,0.3048
246,0.1852,0.3048
36,0.1852,0.3047
5,0.1852,0.3047
38,0.1851,0.3042
269,0.1851,0.3051
59,0.1851,0.3046
18,0.1851,0.3043
296,0.1851,0.3046
243,0.1851,0.3047
79,0.185,0.3047
222,0.185,0.3048
123,0.185,0.3045
186,0.185,0.3047
56,0.185,0.3045
267,0.1849,0.3042
124,0.1849,0.3045
201,0.1849,0.3044
224,0.1849,0.3046
264,0.1848,0.3045
97,0.1848,0.3043
228,0.1848,0.3045
227,0.1848,0.3051
164,0.1848,0.304
142,0.1848,0.3043
6,0.1848,0.3044
55,0.1847,0.3045
57,0.1847,0.304
289,0.1847,0.3041
165,0.1847,0.3042
139,0.1847,0.3041
4,0.1845,0.3041
77,0.1845,0.3041
245,0.1844,0.304
160,0.1844,0.3041
96,0.1844,0.3039
33,0.1843,0.3041
265,0.1843,0.304
141,0.1841,0.3037
183,0.184,0.3038
