seed,mse,mae
285,0.1044,0.2509
271,0.1028,0.2491
256,0.1009,0.2465
174,0.1007,0.247
100,0.1006,0.2467
179,0.1003,0.2458
111,0.0997,0.245
227,0.0996,0.2447
102,0.0994,0.2455
166,0.0989,0.2442
146,0.0987,0.2449
173,0.0983,0.2435
242,0.0983,0.2439
99,0.0983,0.2436
8,0.0982,0.2441
83,0.0979,0.2434
109,0.0977,0.2431
171,0.0977,0.2428
22,0.0976,0.2425
207,0.0975,0.2426
50,0.0972,0.2422
237,0.097,0.242
251,0.097,0.2419
63,0.0969,0.2419
268,0.0969,0.2416
76,0.0968,0.242
86,0.0964,0.2417
292,0.0963,0.2411
45,0.0963,0.242
2,0.0963,0.2413
28,0.0962,0.2412
205,0.0961,0.2412
203,0.096,0.2407
60,0.0959,0.2406
163,0.0958,0.2405
255,0.0958,0.2406
288,0.0957,0.2406
161,0.0956,0.2405
162,0.0955,0.2406
238,0.0953,0.24
232,0.0952,0.2401
33,0.0952,0.2399
141,0.0952,0.2401
222,0.0952,0.2398
56,0.0951,0.2398
67,0.0951,0.2398
167,0.095,0.2397
175,0.095,0.2396
148,0.095,0.2398
73,0.095,0.2395
269,0.0949,0.2406
211,0.0944,0.2395
149,0.0944,0.2398
82,0.0944,0.2393
88,0.0941,0.2392
64,0.0941,0.239
230,0.094,0.2387
101,0.094,0.2386
287,0.094,0.2393
293,0.0938,0.238
267,0.0938,0.2384
59,0.0937,0.2383
30,0.0936,0.2382
225,0.0936,0.2382
5,0.0936,0.2394
114,0.0935,0.2383
47,0.0934,0.2382
204,0.0933,0.238
264,0.0933,0.2379
54,0.0932,0.2379
168,0.0932,0.2379
7,0.0932,0.2379
229,0.0929,0.2381
252,0.0929,0.238
62,0.0928,0.2378
10,0.0928,0.2374
79,0.0927,0.237
142,0.0927,0.2374
247,0.0925,0.2381
69,0.0924,0.2366
265,0.0924,0.2367
241,0.0923,0.2368
98,0.0923,0.2369
239,0.0922,0.2369
216,0.0922,0.2372
85,0.0922,0.2363
270,0.0921,0.2365
38,0.0921,0.2376
95,0.0921,0.237
34,0.0921,0.2364
215,0.092,0.2364
58,0.092,0.2372
74,0.0919,0.2365
9,0.0918,0.2369
220,0.0918,0.2361
170,0.0918,0.2364
231,0.0917,0.2363
202,0.0917,0.2361
155,0.0916,0.2358
96,0.0916,0.2364
11,0.0915,0.2362
224,0.0915,0.2363
108,0.0915,0.2361
213,0.0914,0.2359
156,0.0913,0.2358
208,0.0911,0.2356
158,0.0911,0.2354
55,0.0911,0.2364
138,0.0911,0.235
87,0.0911,0.2354
214,0.091,0.235
201,0.091,0.2351
52,0.091,0.2362
154,0.091,0.2359
116,0.091,0.2351
165,0.0909,0.235
226,0.0909,0.2354
218,0.0909,0.2369
151,0.0908,0.2349
150,0.0906,0.2347
72,0.0906,0.2351
57,0.0906,0.2355
164,0.0906,0.2354
217,0.0906,0.235
145,0.0905,0.2358
160,0.0904,0.2356
159,0.0903,0.2342
15,0.0901,0.2354
244,0.0901,0.2349
43,0.0901,0.2345
178,0.0901,0.2344
143,0.09,0.2357
91,0.09,0.2334
286,0.09,0.2355
233,0.0898,0.2344
25,0.0898,0.2339
107,0.0898,0.234
42,0.0898,0.2342
16,0.0897,0.234
210,0.0897,0.234
157,0.0897,0.2344
177,0.0897,0.2345
152,0.0896,0.2333
153,0.0896,0.2335
19,0.0896,0.2336
93,0.0895,0.2341
80,0.0895,0.235
113,0.0895,0.2333
209,0.0893,0.2329
66,0.0892,0.2332
257,0.0892,0.2344
4,0.0891,0.2332
17,0.0891,0.233
35,0.0891,0.2336
51,0.089,0.2331
65,0.089,0.2333
289,0.0889,0.2334
68,0.0889,0.2329
31,0.0889,0.2338
39,0.0889,0.2331
94,0.0888,0.234
240,0.0887,0.234
234,0.0887,0.2327
176,0.0887,0.2327
223,0.0887,0.2326
254,0.0887,0.2327
14,0.0886,0.2338
78,0.0886,0.2333
84,0.0886,0.2333
92,0.0885,0.2328
97,0.0884,0.2321
36,0.0884,0.2328
1,0.0883,0.2324
246,0.0883,0.2325
115,0.0883,0.2328
235,0.088,0.2325
26,0.088,0.2318
6,0.0879,0.2329
61,0.0878,0.2323
81,0.0878,0.2327
90,0.0877,0.2328
245,0.0876,0.2316
53,0.0876,0.2317
266,0.0875,0.231
228,0.0875,0.2318
140,0.0874,0.2314
89,0.0873,0.2311
24,0.0873,0.2317
253,0.0873,0.2321
236,0.0872,0.2316
248,0.0872,0.2313
21,0.0869,0.2307
144,0.0869,0.2341
221,0.0869,0.2308
105,0.0868,0.2319
290,0.0868,0.2312
0,0.0868,0.2315
110,0.0868,0.2312
32,0.0867,0.2307
172,0.0867,0.231
18,0.0867,0.2315
3,0.0866,0.2303
77,0.0865,0.2316
212,0.0864,0.2306
219,0.0863,0.2304
29,0.0862,0.2316
49,0.0862,0.2301
112,0.0861,0.2315
103,0.0859,0.2305
46,0.0858,0.2309
12,0.0856,0.2301
41,0.0856,0.233
291,0.0856,0.2295
48,0.0855,0.2301
169,0.0854,0.2297
206,0.0853,0.2287
147,0.0853,0.2303
243,0.085,0.2299
37,0.085,0.2281
70,0.0848,0.2303
139,0.0848,0.2304
106,0.0847,0.229
250,0.0845,0.2294
272,0.0844,0.2286
13,0.0836,0.2282
20,0.0835,0.2323
44,0.0833,0.2305
23,0.0833,0.2276
27,0.0829,0.2274
75,0.0828,0.2273
71,0.0823,0.2266
40,0.0819,0.2272
249,0.0817,0.2265
104,0.0814,0.2259
