seed,mse,mae
95,0.2307,0.4063
115,0.2184,0.395
250,0.216,0.3932
69,0.2144,0.3898
175,0.2133,0.39
220,0.2124,0.3888
9,0.2119,0.3864
97,0.2109,0.3851
153,0.2103,0.3883
230,0.2103,0.3845
73,0.2101,0.3837
254,0.2082,0.3828
140,0.2076,0.3825
215,0.206,0.3817
232,0.2047,0.3788
170,0.2038,0.3776
266,0.2026,0.3786
131,0.2008,0.3747
66,0.2001,0.3742
25,0.2,0.3743
99,0.1998,0.3737
71,0.1983,0.3717
143,0.1957,0.3691
305,0.1956,0.3691
137,0.1956,0.3683
237,0.1954,0.3686
272,0.1945,0.3675
244,0.1944,0.3673
197,0.1944,0.3681
227,0.1941,0.368
16,0.1941,0.3667
171,0.194,0.367
122,0.1933,0.3668
212,0.1931,0.3655
88,0.1927,0.3663
116,0.1927,0.3661
299,0.1922,0.3643
231,0.1911,0.362
260,0.191,0.363
8,0.1908,0.3644
70,0.1905,0.3633
11,0.1895,0.3613
234,0.1893,0.3613
200,0.1893,0.3621
111,0.1889,0.3606
273,0.1887,0.3606
203,0.1885,0.3608
82,0.1883,0.3606
164,0.1882,0.3612
128,0.188,0.3604
65,0.1879,0.3601
18,0.1879,0.3601
49,0.1878,0.3602
23,0.1877,0.3596
258,0.187,0.358
4,0.187,0.3591
189,0.1869,0.3588
225,0.1866,0.3585
139,0.1865,0.3579
53,0.1865,0.3588
2,0.1862,0.359
193,0.1861,0.3586
228,0.186,0.3572
168,0.1858,0.3581
90,0.1857,0.357
52,0.1855,0.3575
81,0.1853,0.357
221,0.1851,0.3563
241,0.1851,0.3568
179,0.1851,0.3568
36,0.185,0.3561
86,0.1848,0.3571
3,0.1844,0.3561
288,0.1841,0.3561
42,0.1841,0.3547
87,0.184,0.3563
205,0.184,0.356
142,0.184,0.3557
257,0.184,0.3562
148,0.1839,0.3548
294,0.1839,0.3563
198,0.1837,0.3549
28,0.1837,0.3541
222,0.1833,0.3538
218,0.1832,0.3541
296,0.1823,0.3528
160,0.1819,0.3527
83,0.1817,0.3532
155,0.1816,0.3533
295,0.1814,0.3525
27,0.1812,0.3523
167,0.1805,0.352
30,0.1805,0.3507
72,0.1801,0.3519
265,0.18,0.3507
162,0.1797,0.3509
201,0.1796,0.3502
141,0.1795,0.3502
50,0.1795,0.3511
132,0.1794,0.3503
100,0.1793,0.3503
0,0.1791,0.3498
208,0.179,0.3504
253,0.1787,0.3486
31,0.1785,0.3485
223,0.1784,0.349
178,0.1782,0.3478
125,0.178,0.3486
240,0.1779,0.3487
264,0.1772,0.3485
38,0.1772,0.348
169,0.1772,0.3469
10,0.1771,0.3465
118,0.1765,0.3471
67,0.1765,0.3459
302,0.1759,0.3457
251,0.1756,0.3454
204,0.1753,0.345
84,0.1753,0.3455
219,0.1751,0.3463
107,0.1751,0.3454
199,0.175,0.3447
124,0.1749,0.3445
102,0.1749,0.3453
206,0.1748,0.3449
112,0.1748,0.3444
85,0.1746,0.3438
152,0.1744,0.3441
93,0.1742,0.3453
35,0.1739,0.3437
176,0.1737,0.3432
104,0.1734,0.3436
213,0.1734,0.3429
207,0.1733,0.3425
24,0.1728,0.342
145,0.1727,0.3415
135,0.1727,0.3424
242,0.1724,0.3421
103,0.1723,0.3422
21,0.1721,0.3414
92,0.172,0.3419
289,0.172,0.3422
196,0.1718,0.3409
270,0.1715,0.34
33,0.1715,0.3414
80,0.1715,0.3414
261,0.1715,0.3407
286,0.1714,0.3406
211,0.1713,0.3401
64,0.1712,0.3405
109,0.1709,0.339
40,0.1709,0.3398
7,0.1708,0.3404
133,0.1707,0.3402
60,0.1707,0.3406
159,0.1707,0.3402
37,0.1706,0.34
283,0.1705,0.3395
106,0.1703,0.3394
29,0.1703,0.34
79,0.1703,0.3394
13,0.17,0.3389
136,0.17,0.3384
210,0.1699,0.3385
129,0.1698,0.3378
243,0.1696,0.3392
226,0.1696,0.3383
158,0.1694,0.3385
277,0.1691,0.3383
275,0.1685,0.3377
105,0.1684,0.3371
247,0.1683,0.3376
192,0.1683,0.3365
156,0.1682,0.3371
180,0.1682,0.3366
163,0.1681,0.3368
108,0.1678,0.3367
55,0.1676,0.336
235,0.1675,0.3351
252,0.1675,0.3366
39,0.1675,0.3359
12,0.1674,0.3354
91,0.1672,0.3363
15,0.1672,0.3357
58,0.1671,0.3356
301,0.167,0.3355
119,0.1668,0.3351
233,0.1666,0.3348
303,0.1663,0.335
117,0.1663,0.3355
263,0.166,0.334
290,0.1659,0.3342
194,0.1658,0.3345
165,0.1658,0.3337
77,0.1656,0.3335
259,0.1655,0.3333
278,0.1653,0.3341
44,0.1651,0.3329
291,0.1646,0.3327
127,0.1646,0.3326
214,0.1645,0.332
216,0.1644,0.3316
68,0.1642,0.3323
147,0.1638,0.3311
166,0.1636,0.3304
245,0.1635,0.3312
186,0.1635,0.3321
98,0.1634,0.3305
149,0.1634,0.3311
113,0.1633,0.3309
59,0.1633,0.33
6,0.1631,0.3308
177,0.163,0.3308
292,0.1629,0.3302
281,0.1628,0.331
121,0.1627,0.3304
120,0.1627,0.3304
256,0.1624,0.3294
17,0.1621,0.329
34,0.1616,0.3283
282,0.1614,0.3287
298,0.1614,0.3288
269,0.1613,0.3284
262,0.1612,0.3279
19,0.1609,0.328
304,0.1605,0.3275
126,0.1602,0.3275
78,0.1599,0.3267
287,0.1599,0.3269
238,0.1597,0.3257
268,0.1597,0.3267
51,0.1593,0.3258
96,0.1593,0.3265
280,0.1592,0.3255
190,0.1589,0.3258
130,0.1588,0.3258
14,0.1587,0.3253
236,0.1581,0.3242
89,0.1579,0.3242
76,0.1576,0.3228
202,0.1575,0.3247
224,0.1574,0.3234
62,0.1572,0.3235
183,0.1568,0.3232
246,0.1568,0.3224
45,0.1567,0.3236
146,0.1566,0.3221
154,0.1564,0.3225
181,0.156,0.3214
174,0.1559,0.322
48,0.1558,0.3211
57,0.1558,0.3218
274,0.1557,0.3219
61,0.1556,0.3217
75,0.1554,0.3202
56,0.1554,0.3214
123,0.1549,0.3202
138,0.1545,0.3202
47,0.1543,0.3202
110,0.1538,0.3196
74,0.1538,0.3195
157,0.153,0.3181
267,0.1522,0.3175
184,0.1521,0.3175
26,0.1521,0.3173
63,0.1519,0.3173
43,0.1519,0.3167
172,0.1509,0.3157
188,0.1508,0.3151
217,0.1502,0.3146
249,0.1499,0.314
191,0.1498,0.3145
54,0.1497,0.3148
144,0.1496,0.3137
150,0.1493,0.3135
173,0.1487,0.3134
161,0.1484,0.3129
22,0.1481,0.3114
255,0.1481,0.3121
195,0.1473,0.3118
1,0.1471,0.3109
182,0.1468,0.3113
271,0.1467,0.3105
5,0.1462,0.3099
293,0.1446,0.3077
151,0.1444,0.3076
276,0.1442,0.3078
284,0.1442,0.3072
134,0.1438,0.3062
239,0.1436,0.3066
279,0.1435,0.3065
185,0.1428,0.3059
187,0.1424,0.3052
101,0.1416,0.3042
297,0.1405,0.3032
114,0.1404,0.3022
300,0.1392,0.3012
94,0.1383,0.2997
32,0.1383,0.3002
229,0.1376,0.2992
46,0.1365,0.2971
41,0.1334,0.2938
20,0.1328,0.2931
209,0.1325,0.2921
248,0.1325,0.2926
285,0.1238,0.2819
