seed,mse,mae
55,0.081,0.2127
159,0.0798,0.2117
54,0.0798,0.2123
123,0.0784,0.2093
138,0.0777,0.2091
56,0.0776,0.2093
12,0.077,0.2078
139,0.0766,0.2076
75,0.0765,0.2072
101,0.0764,0.207
77,0.0763,0.2078
57,0.0761,0.2068
79,0.0759,0.2069
140,0.0759,0.2066
97,0.0759,0.2076
202,0.0756,0.2065
15,0.0754,0.2067
98,0.0751,0.2059
163,0.075,0.206
99,0.0749,0.2062
121,0.0745,0.2048
120,0.0744,0.2054
16,0.0743,0.2066
164,0.0742,0.2064
39,0.074,0.2051
38,0.0738,0.2065
35,0.0736,0.2074
17,0.0732,0.2055
76,0.0731,0.2038
144,0.0731,0.2047
102,0.073,0.2051
201,0.073,0.2035
14,0.0728,0.2033
141,0.0727,0.2049
58,0.0727,0.203
36,0.0726,0.2028
145,0.0725,0.2034
13,0.0724,0.2055
143,0.0723,0.2034
205,0.0721,0.2037
80,0.0719,0.2046
18,0.0718,0.2041
33,0.0718,0.2048
34,0.0718,0.2035
117,0.0717,0.2046
165,0.0715,0.2025
100,0.0712,0.2049
118,0.0712,0.2065
37,0.0707,0.2036
162,0.0707,0.2029
96,0.0706,0.2023
142,0.0705,0.2026
119,0.0703,0.2031
204,0.0702,0.2017
161,0.0702,0.2019
122,0.07,0.2028
203,0.0698,0.2034
78,0.0697,0.2028
160,0.0688,0.2028
