seed,mse,mae
142,0.177,0.3365
118,0.1027,0.2489
184,0.1019,0.2481
99,0.0999,0.2456
98,0.0996,0.2458
97,0.0989,0.2447
161,0.0982,0.2437
80,0.0982,0.2437
165,0.0977,0.2434
117,0.0971,0.2423
57,0.0968,0.2425
160,0.0967,0.2418
139,0.0962,0.2422
79,0.0961,0.2426
164,0.0947,0.2409
119,0.0945,0.2396
228,0.0943,0.2391
159,0.0943,0.2416
81,0.0942,0.2394
181,0.0942,0.2393
77,0.0939,0.2394
55,0.0937,0.2391
225,0.0935,0.2394
162,0.0935,0.2389
183,0.0931,0.2409
138,0.093,0.2388
96,0.0927,0.2404
141,0.0924,0.2383
121,0.0921,0.2381
224,0.0919,0.2379
144,0.0918,0.2385
58,0.0914,0.2376
143,0.0914,0.2381
120,0.0913,0.2381
227,0.0911,0.2373
56,0.0911,0.2367
60,0.0908,0.2362
78,0.0908,0.2368
76,0.0904,0.2418
54,0.0903,0.237
163,0.0901,0.2367
180,0.0892,0.2348
222,0.0884,0.2342
140,0.0883,0.2349
182,0.0876,0.2347
226,0.0873,0.2345
223,0.0871,0.2341
100,0.0869,0.2355
75,0.0868,0.2375
59,0.0863,0.2357
