seed,mse,mae
183,0.1997,0.3752
78,0.1897,0.3619
164,0.1892,0.3613
187,0.1885,0.3612
181,0.1879,0.3607
226,0.1857,0.3578
168,0.1853,0.3566
144,0.185,0.3562
209,0.1829,0.3538
138,0.1828,0.3538
76,0.1828,0.355
80,0.1806,0.3527
99,0.179,0.3506
100,0.1778,0.3486
81,0.1778,0.3485
55,0.1768,0.3468
117,0.1767,0.3471
185,0.1765,0.3469
143,0.1756,0.3465
101,0.1749,0.3448
97,0.1747,0.3444
211,0.1728,0.3421
123,0.1727,0.3425
56,0.1725,0.3418
59,0.1722,0.3411
180,0.172,0.3418
162,0.1711,0.3406
205,0.1707,0.3394
230,0.1703,0.3393
77,0.1695,0.3385
124,0.1691,0.3373
182,0.1687,0.3374
222,0.1676,0.3362
160,0.1676,0.3365
167,0.1668,0.3348
120,0.1667,0.335
227,0.1667,0.3338
96,0.1665,0.3348
163,0.1654,0.3325
122,0.1654,0.3332
54,0.1646,0.3316
159,0.1644,0.3323
119,0.1629,0.3309
98,0.1626,0.3296
141,0.1625,0.3302
229,0.1622,0.3295
75,0.1619,0.3303
139,0.1608,0.3286
79,0.1599,0.3267
146,0.1594,0.3262
121,0.1592,0.3263
125,0.1583,0.3251
231,0.1582,0.3253
228,0.1579,0.3246
186,0.1578,0.3247
118,0.1553,0.3217
204,0.1537,0.3195
224,0.1537,0.3197
223,0.1533,0.319
57,0.1522,0.3176
207,0.1519,0.3174
140,0.1519,0.3176
201,0.1514,0.3167
225,0.151,0.3163
161,0.151,0.3156
208,0.1488,0.3136
184,0.1488,0.3129
142,0.1483,0.3125
165,0.1483,0.313
202,0.1483,0.3119
203,0.1481,0.3119
102,0.1474,0.3117
58,0.1459,0.3094
145,0.1457,0.3098
206,0.1426,0.3061
166,0.1426,0.3058
210,0.1419,0.3048
169,0.1406,0.3026
60,0.1368,0.2987
