seed,mse,mae
77,1.0401,0.8148
163,1.0336,0.8094
182,1.0273,0.809
224,0.3056,0.3986
97,0.305,0.3988
181,0.3032,0.3952
223,0.303,0.3956
118,0.3025,0.3974
98,0.3021,0.3959
202,0.3017,0.3963
54,0.3016,0.3959
162,0.3012,0.3943
201,0.3009,0.3956
76,0.3007,0.3946
117,0.3005,0.3945
96,0.2999,0.3949
138,0.2996,0.3946
222,0.2995,0.3943
180,0.2994,0.3947
139,0.299,0.3933
161,0.2989,0.3942
55,0.2986,0.3926
203,0.2982,0.3925
119,0.2982,0.3922
75,0.2978,0.393
56,0.2961,0.3918
159,0.2934,0.3875
160,0.2887,0.3836
